,precision,recall,f1-score,support
angry,0.5199600798403193,0.5438413361169102,0.5316326530612245,958.0
disgust,0.7142857142857143,0.04504504504504504,0.0847457627118644,111.0
fear,0.49417249417249415,0.20703125,0.2918100481761872,1024.0
happy,0.8650121065375302,0.8055242390078917,0.8342089900758902,1774.0
neutral,0.483835005574136,0.7039740470397404,0.5735051205814337,1233.0
sad,0.4534803583735355,0.5276663993584603,0.48776871756856927,1247.0
surprise,0.7473309608540926,0.7581227436823105,0.7526881720430108,831.0
accuracy,0.602256896071329,0.602256896071329,0.602256896071329,0.602256896071329
macro avg,0.6111538170911174,0.5130292943214797,0.5080513520311686,7178.0
weighted avg,0.6131320951570649,0.602256896071329,0.5904533817878755,7178.0
