,precision,recall,f1-score,support
angry,0.6581560283687943,0.48434237995824636,0.5580276608538786,958.0
disgust,0.5182481751824818,0.6396396396396397,0.5725806451612904,111.0
fear,0.5812324929971989,0.4052734375,0.47756041426927504,1024.0
happy,0.8788800973828362,0.8139797068771139,0.8451858355282411,1774.0
neutral,0.5770065075921909,0.6472019464720195,0.6100917431192661,1233.0
sad,0.47076023391812866,0.6455493183640738,0.5444707473791005,1247.0
surprise,0.7483069977426636,0.7978339350180506,0.7722772277227722,831.0
accuracy,0.6492059069378657,0.6492059069378657,0.6492059069378657,0.6492059069378657
macro avg,0.6332272190263277,0.6334029091184491,0.6257420391476891,7178.0
weighted avg,0.6635113595555969,0.6492059069378657,0.6491347178371654,7178.0
